#,Data,Categoria,Descrição,Status,Prioridade,Responsável,Prazo,Observação
1,17-05-2026,PM,Reposição de estoque de equipamento,aberta,A,Marcos T.,,
2,2026-06-04,meta,Pendente aprovação da diretoria sobre auditoria,Encerrado,,,25/08,não faz sentido no contexto atual
3,02/05/26,Equipe,Reunião com fornecedor de relatório,Fechado,crítica,Eduarda Santos,25/06/2026,aparentemente resolvido mas não tem evidência
4,23/04/26,Time,Ajuste no cronograma semanal,A fazer,Média,todos,,envolve 2 áreas — precisa alinhar
5,12-05-2026,gente,Alinhamento com liderança sobre reunião,andamento,Baixa,Bruno Alves,07-09-2026,TI ainda não liberou
6,04/07/26,QA,Treinamento de qualidade pra equipe,Encerrado,Alta,Gabi Ferreira,2026-07-08,não faz sentido no contexto atual
7,2026-07-13,Pessoas,Ajuste no cronograma semanal,TODO,M,,,3 vezes que aparece esse mesmo problema
8,26-06-2026,PROD,Atualizar checklist de inspeção,Em andamento,A,Eduarda Santos,,não faz sentido no contexto atual
9,24/06/26,Qualidade,Revisar procedimento de processo conforme reunião,Novo,B,Paula V.,03/08,
10,29/06/2026,Target,Reagendar reunião de follow-up,Concluído,B,Vanessa L.,13/07/2026,impacto direto no OEE do turno
11,27/04/2026,SST,Reposição de estoque de crachá,Encerrado,Baixa,Vanessa L.,,
12,06-06-2026,MTN,Auditoria interna de reunião,Novo,urgente,time,2026-08-05,
13,25-04-2026,SST,Análise da NC #884,OK,urgente,Karen L.,10/07/2026,movi pra próxima semana
14,16/06/2026,proc.,Aguardando retorno de fornecedor sobre documento,TODO,A,Ricardo N.,08/08/2026,3 vezes que aparece esse mesmo problema
15,20/05/2026,Instrução Trabalho,Preparar apresentação sobre relatório,Aberto,Média,João P.,2026-06-20,
16,27-06-2026,Processo,Análise da NC #875,TODO,A,a definir,,urgente segundo o gerente
17,2026-06-08,KPI,Documentar procedimento de inspeção,Fechado,A,a definir,,
18,30-05-2026,Procedimento,Renovar contrato de documento,concluido,Baixa,?,2026-07-07,não faz sentido no contexto atual
19,2026-07-11,produtividade,Padronizar registro de segurança,WIP,Média,Henrique M.,17/08,urgente segundo o gerente
20,2026-04-30,Produção,Padronizar registro de planilha,aberta,Média,Leo Batista,17-08-2026,revisar após mudança de escala
21,28/04/2026,Objetivo,Comunicar mudança de manutenção pro time,Encerrado,,Felipe Costa,2026-08-10,conversamos na daily de segunda
22,24-06-2026,PM,Aguardando retorno de fornecedor sobre licença,Fechado,Baixa,Tiago Alves,11/09/2026,
23,02/07/26,Pessoas,Precisa validação técnica de contrato,aberta,crítica,,03/07/2026,pode ser reunião de 15min
24,05/06/2026,Qualidade,Consolidar dados de comunicado,Feito,alta,todos,07/08,cliente reclamou disso semana passada
25,10-06-2026,RH/Gestão,Escalar problema de processo pro gerente,andamento,B,time,11-09-2026,duplicado com outra linha?
26,2026-07-15,QA,Preparar apresentação sobre auditoria,Aberto,urgente,todos,12/09/2026,"só depende de mim, sem justificativa"
27,22-05-2026,PM,Treinamento de plano de ação pra equipe,Fechado,B,Marcos T.,16/08/2026,auditoria externa pergunta sobre isso
28,17/06/26,Procedimento,Reagendar reunião de plano de ação,Encerrado,,,26/07,aparentemente resolvido mas não tem evidência
29,08-06-2026,EPI,Comunicar mudança de follow-up pro time,Feito,ALTA,Paula V.,2026-06-30,cliente reclamou disso semana passada
30,2026-04-22,OEE,Consolidar dados de treinamento,Em andamento,ALTA,Nubia Costa,22-08-2026,3 vezes que aparece esse mesmo problema
31,2026-06-29,Processo,Ficou de trazer qualidade na próxima reunião,Feito,crítica,Gabi Ferreira,2026-08-26,envolve 2 áreas — precisa alinhar
32,23/04/2026,Target,Reunião com fornecedor de ferramenta,andamento,alta,?,,envolve 2 áreas — precisa alinhar
33,24/06/2026,Corretiva,Feedback pra equipe sobre inspeção,TODO,A,João P.,09-08-2026,não faz sentido no contexto atual
34,23/06/2026,Segurança,Investigação de desvio em briefing,Em andamento,alta,Ricardo N.,15-07-2026,TI ainda não liberou
35,2026-06-27,Seg,Padronizar registro de apresentação,concluido,M,time,21-07-2026,não faz sentido no contexto atual
36,09/06/2026,Qualidade,Aguardando retorno de fornecedor sobre certificado,Aberto,urgente,time,2026-08-04,TI ainda não liberou
37,11-05-2026,produtividade,Follow-up com gerente sobre processo,Fechado,Baixa,?,2026-08-25,aparentemente resolvido mas não tem evidência
38,19/04/26,MTC,Fechamento de auditoria do mês anterior,aberta,crítica,Felipe Costa,04/07/2026,"só depende de mim, sem justificativa"
39,27/06/26,Prod,Verificar histórico de briefing,A fazer,alta,?,19/06/2026,vinculado à pendência anterior
40,07-05-2026,KPI,Follow-up com gerente sobre follow-up,Aberto,,todos,,aparentemente resolvido mas não tem evidência
41,05/06/2026,OEE,Follow-up com coordenador sobre relatório,aberta,Média,Isabel R.,30/08,esperando ok da diretoria
42,23/04/2026,MTC,Ficou de trazer checklist na próxima reunião,Aberto,Média,Gabi Ferreira,01/09,revisar após mudança de escala
43,01/07/26,KPI,Precisa validação técnica de suporte técnico,Em andamento,crítica,,08/08/2026,3 vezes que aparece esse mesmo problema
44,22/04/26,SST,Reagendar reunião de comunicado,OK,urgente,Nubia Costa,2026-08-23,aparentemente resolvido mas não tem evidência
45,06-07-2026,OEE,Ficou de trazer reunião na próxima reunião,WIP,Baixa,João P.,11-09-2026,cliente reclamou disso semana passada
46,11-05-2026,Target,Renovar contrato de crachá,Concluído,,a definir,,aparentemente resolvido mas não tem evidência
47,17-07-2026,Preventiva,Reagendar reunião de treinamento,Concluído,Baixa,Marcos T.,,impacto direto no OEE do turno
48,17-05-2026,MTC,Ver com RH status de auditoria,Concluído,crítica,Felipe Costa,,duplicado com outra linha?
